20200506;140000;9.238.4000000;9.290.0000000;9.140.9600000;9.236.2000000;1.106
20200506;150000;9.237.0000000;9.266.0000000;9.198.5600000;9.244.7800000;565
20200506;160000;9.244.8000000;9.303.8600000;9.235.5000000;9.286.8600000;528
20200506;170000;9.281.3900000;9.329.0000000;9.238.2100000;9.280.3500000;594
20200506;180000;9.280.3500000;9.300.0000000;9.238.2100000;9.274.1600000;340
20200506;190000;9.278.3900000;9.281.1800000;9.216.0800000;9.255.6200000;297
20200506;200000;9.255.4200000;9.299.3700000;9.241.1600000;9.261.5900000;370
20200506;210000;9.259.9400000;9.268.8600000;9.227.1400000;9.253.2900000;411
20200506;220000;9.246.5500000;9.304.9500000;9.243.9500000;9.298.1100000;173
20200506;230000;9.304.9500000;9.390.8100000;9.288.2200000;9.372.2000000;684
20200507;000000;9.369.0500000;9.417.9500000;9.072.2400000;9.154.3200000;1.388
20200507;010000;9.163.6300000;9.221.6100000;9.030.0300000;9.200.8200000;566
20200507;020000;9.200.8200000;9.259.7300000;9.187.4000000;9.237.4000000;230
20200507;030000;9.228.8800000;9.383.3500000;9.205.0300000;9.320.8500000;555
20200507;040000;9.343.0200000;9.366.3700000;9.264.2300000;9.302.3300000;274
20200507;050000;9.302.3300000;9.327.8300000;9.257.4000000;9.292.5500000;150
20200507;060000;9.291.7200000;9.322.7300000;9.243.6200000;9.275.8000000;164
20200507;070000;9.282.6100000;9.315.0000000;9.251.0700000;9.264.3800000;150
20200507;080000;9.266.0600000;9.327.0000000;9.245.2600000;9.316.1100000;124
20200507;090000;9.321.6700000;9.349.7100000;9.279.8500000;9.349.7100000;217
20200507;100000;9.345.4100000;9.345.4100000;9.274.6000000;9.320.3000000;572
20200507;110000;9.325.0000000;9.335.0000000;9.272.0000000;9.306.7100000;578
20200507;120000;9.298.6000000;9.318.3000000;9.254.4700000;9.287.2500000;293
20200507;130000;9.295.0000000;9.391.0000000;9.266.1700000;9.391.0000000;857
20200507;140000;9.385.0000000;9.626.7700000;9.338.5000000;9.495.7100000;2.715
20200507;150000;9.498.9200000;9.546.2700000;9.485.2800000;9.503.6300000;916
20200507;160000;9.504.2400000;9.579.8700000;9.355.3200000;9.532.3500000;980
20200507;170000;9.525.7100000;9.650.0000000;9.516.4400000;9.640.0000000;1.396
20200507;180000;9.646.7000000;9.911.0000000;9.644.7400000;9.848.5600000;4.814
