<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220527;210000;28.813.6200000;28.969.6400000;28.715.6700000;28.732.3800000;18
20220527;220000;28.732.3700000;28.816.6100000;28.659.9000000;28.695.9200000;3
20220527;230000;28.693.3200000;28.886.6600000;28.609.8700000;28.801.3900000;17
20220528;000000;28.832.7800000;28.832.7800000;28.482.0000000;28.589.4800000;38
20220528;010000;28.606.0800000;28.797.4700000;28.532.6000000;28.781.7200000;7
20220528;020000;28.779.9200000;28.802.2400000;28.498.7300000;28.585.4300000;32
20220528;030000;28.597.3200000;28.712.3300000;28.565.8700000;28.660.3200000;8
20220528;040000;28.639.2100000;28.822.0600000;28.604.1700000;28.803.3900000;6
20220528;050000;28.760.7200000;28.856.6000000;28.733.4900000;28.812.4700000;6
20220528;060000;28.812.4700000;28.926.6500000;28.754.9400000;28.855.9700000;25
20220528;070000;28.846.7200000;28.892.5600000;28.809.5200000;28.846.7500000;1
20220528;080000;28.862.3900000;28.895.3000000;28.795.5300000;28.864.4200000;0
20220528;090000;28.867.0800000;28.897.2000000;28.753.2900000;28.820.4000000;2
20220528;100000;28.807.2600000;28.866.7900000;28.746.1900000;28.787.6600000;1
20220528;110000;28.776.7400000;28.833.4700000;28.741.8900000;28.779.5600000;64
20220528;120000;28.786.4700000;28.900.1700000;28.753.0300000;28.792.8100000;13
20220528;130000;28.796.1500000;29.005.5000000;28.764.6300000;28.964.7000000;24
20220528;140000;28.956.5700000;29.231.9000000;28.925.2000000;29.048.1300000;55
20220528;150000;29.050.7000000;29.078.9600000;28.897.5100000;28.936.9800000;3
20220528;160000;28.940.8000000;29.047.3500000;28.877.4100000;28.974.5700000;7
20220528;170000;28.974.5700000;29.024.4700000;28.876.6200000;28.896.7100000;0
20220528;180000;28.894.4200000;28.998.8100000;28.759.8100000;28.868.7200000;25
20220528;190000;28.874.6300000;28.995.2100000;28.862.3400000;28.985.7300000;4
20220528;200000;28.993.3200000;29.035.0600000;28.911.5100000;29.003.5200000;1
20220528;210000;28.991.8300000;29.020.1500000;28.966.4800000;28.999.8700000;7
20220528;220000;29.005.0700000;29.035.7900000;28.971.7300000;29.001.9200000;6
20220528;230000;28.987.8700000;29.007.8400000;28.932.4200000;28.970.6600000;0
20220529;000000;28.973.4900000;29.124.4500000;28.973.4900000;29.010.8200000;8
20220529;010000;29.010.8200000;29.025.1400000;28.951.0500000;28.987.4700000;1
20220529;020000;28.982.9800000;29.007.8700000;28.876.8800000;28.905.2000000;2
20220529;030000;28.905.2000000;28.905.2000000;28.814.4600000;28.885.6300000;1
20220529;040000;28.886.3700000;28.972.1100000;28.858.3600000;28.972.1100000;1
20220529;050000;28.962.3400000;28.967.1600000;28.900.0000000;28.919.9500000;98
20220529;060000;28.917.6500000;29.012.1700000;28.907.6000000;29.005.7300000;3
20220529;070000;29.023.8900000;29.042.5800000;28.967.2900000;29.016.7100000;3
20220529;080000;29.017.0700000;29.022.2700000;28.962.4700000;28.982.9700000;1
20220529;090000;28.982.5300000;29.154.8700000;28.957.5400000;29.037.9100000;9
20220529;100000;29.048.9100000;29.051.2100000;28.929.4000000;28.975.2700000;5
20220529;110000;28.983.9500000;29.183.9200000;28.983.9500000;29.124.6900000;12
20220529;120000;29.141.1400000;29.215.8000000;29.097.3700000;29.200.6000000;56
20220529;130000;29.200.6000000;29.451.2800000;29.180.1800000;29.344.0600000;95
20220529;140000;29.360.6700000;29.437.6400000;29.287.8800000;29.317.0300000;29
20220529;150000;29.313.0300000;29.354.7800000;29.264.5100000;29.275.9200000;11
20220529;160000;29.252.0100000;29.253.1100000;29.143.9500000;29.191.8400000;3
20220529;170000;29.192.4700000;29.315.0000000;29.192.4700000;29.263.7100000;6
20220529;180000;29.259.4700000;29.341.6900000;29.170.4100000;29.213.1000000;3
20220529;190000;29.210.0000000;29.228.9700000;29.123.5200000;29.138.0000000;11
20220529;200000;29.138.0000000;29.169.0700000;29.051.1600000;29.105.2100000;86
20220529;210000;29.087.5600000;29.171.2100000;29.066.1300000;29.163.7800000;6
20220529;220000;29.162.3900000;29.220.3700000;29.144.5900000;29.214.6100000;9
20220529;230000;29.219.3600000;29.561.0400000;29.151.6500000;29.403.3500000;21
20220530;000000;29.407.9800000;29.477.7400000;29.380.4900000;29.448.9400000;7
20220530;010000;29.454.6900000;29.454.6900000;29.276.1500000;29.303.5200000;3
20220530;020000;29.299.7600000;29.748.8700000;29.299.7600000;29.735.2700000;44
20220530;030000;29.734.5900000;30.249.9900000;29.727.9600000;30.195.4500000;170
20220530;040000;30.209.9200000;30.377.0000000;30.185.4300000;30.337.1500000;120
20220530;050000;30.347.7000000;30.399.0000000;30.202.2100000;30.320.8500000;27
20220530;060000;30.312.9500000;30.446.6300000;30.286.3200000;30.436.2300000;33
20220530;070000;30.446.6300000;30.887.0400000;30.403.5300000;30.694.3900000;267
20220530;080000;30.694.5200000;30.720.1200000;30.533.2300000;30.635.6200000;49
20220530;090000;30.627.2200000;30.735.4300000;30.563.2400000;30.713.2100000;10
20220530;100000;30.731.0900000;30.761.0600000;30.545.5200000;30.700.1800000;71
20220530;110000;30.690.9100000;30.743.2300000;30.545.5200000;30.572.8500000;20
20220530;120000;30.591.4700000;30.688.4700000;30.570.0500000;30.656.3200000;3
20220530;130000;30.654.1800000;30.903.0400000;30.330.0500000;30.515.9300000;57
20220530;140000;30.515.9300000;30.545.8400000;30.236.5200000;30.500.0000000;63
20220530;150000;30.500.0000000;30.723.4200000;30.410.5100000;30.454.2400000;48
20220530;160000;30.436.8300000;30.657.4500000;30.435.0000000;30.623.1000000;14
20220530;170000;30.647.6900000;30.690.0000000;30.553.4400000;30.605.0100000;4
